id,target,mutants_in_minimal,test_suites,assertions,mutants,killed_mutants,not_equivalent_mutants,%,differential_success,minimal,survive,killed,equivalent,class,method,line,column,project
2,return_stm,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.ArrayStack,search(java.lang.Object),75,0,commons-collections
3,stm_list,2,2,2,2,2,2,1.0,True,SDL,SDL,,SDL,SDL,,org.apache.commons.collections4.ArrayStack,peek(int),commons-collections
4,lexp && rexp,4,4,4,9,9,9,1.0,True,COR false,ODL rexp,ODL lexp,COR ==,,COR false,COR ==,COR !=,commons-collections
5,lexp - rexp,3,3,3,8,8,8,1.0,True,ODL rexp,AORB %,ODL lexp,,ODL lexp,CDL lexp,AORB *,AORB +,commons-collections
7,if_stm,2,2,2,2,2,2,1.0,True,SDL,SDL,,SDL,SDL,,org.apache.commons.collections4.ArrayStack,pop(),commons-collections
11,-exp,1,1,1,2,2,2,1.0,True,AODU exp,,ODL exp,AODU exp,,org.apache.commons.collections4.ArrayStack,search(java.lang.Object),79,commons-collections
13,lexp >= rexp,2,2,2,6,6,6,1.0,True,ROR ==,ROR >,,ROR >,ROR ==,ROR <=,ROR !=,ROR <,commons-collections
14,stm_list,2,2,2,2,2,2,1.0,True,SDL,SDL,,SDL,SDL,,org.apache.commons.collections4.ArrayStack,peek(),commons-collections
15,return_stm,2,2,2,2,2,2,1.0,True,SDL,SDL,,SDL,SDL,,org.apache.commons.collections4.ArrayStack,empty(),commons-collections
16,lexp - rexp,3,3,3,7,7,7,1.0,True,AORB %,ODL rexp,ODL lexp,,AORB *,ODL lexp,ODL rexp,AORB /,commons-collections
17,lexp && rexp,4,4,4,9,9,9,1.0,True,ODL lexp,COR false,COR ==,ODL rexp,,COR true,COR !=,ODL rexp,commons-collections
18,if_stm,2,2,2,2,2,2,1.0,True,SDL,SDL,,SDL,SDL,,org.apache.commons.collections4.ArrayStack,search(java.lang.Object),commons-collections
22,lexp - rexp,3,3,3,7,7,7,1.0,True,ODL lexp,ODL rexp,AORB %,,AORB %,CDL lexp,AORB +,AORB *,commons-collections
26,return_stm,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.ArrayStack,search(java.lang.Object),80,0,commons-collections
29,exp,6,6,6,6,6,6,1.0,True,AOIS --exp,AOIS exp--,AOIS exp++,AOIU -exp,AOIS ++exp,LOI ~exp,,AOIS exp++,commons-collections
30,lexp < rexp,2,2,2,8,7,8,875,True,ROR <=,ROR !=,ROR false,ROR true,ROR ==,COI !(),ROR !=,ROR >,commons-collections
31,lexp - rexp,3,3,3,7,7,7,1.0,True,AORB %,ODL rexp,ODL lexp,,AORB %,ODL rexp,CDL lexp,ODL lexp,commons-collections
35,lexp == rexp,1,1,1,2,2,2,1.0,True,ROR !=,,ROR !=,COI !(),,org.apache.commons.collections4.ArrayStack,search(java.lang.Object),73,commons-collections
36,lexp == rexp,1,1,1,2,2,2,1.0,True,ROR !=,,COI !(),ROR !=,,org.apache.commons.collections4.ArrayStack,search(java.lang.Object),73,commons-collections
38,lexp != rexp,1,1,1,2,2,2,1.0,True,ROR ==,,ROR ==,COI !(),,org.apache.commons.collections4.ArrayStack,search(java.lang.Object),73,commons-collections
39,lexp == rexp,1,1,1,2,2,2,1.0,True,ROR !=,,ROR !=,COI !(),,org.apache.commons.collections4.ArrayUtils,indexOf(java.lang.Object[],java.lang.Object,commons-collections
40,return_stm,2,2,2,2,2,2,1.0,True,SDL,SDL,,SDL,SDL,,org.apache.commons.collections4.ArrayUtils,contains(java.lang.Object[],commons-collections
42,lexp < rexp,2,2,2,7,6,7,0.8571428571428571,True,ROR !=,ROR <=,ROR ==,ROR !=,COI !(),ROR <=,ROR true,ROR >,commons-collections
43,if_stm,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.ArrayUtils,indexOf(java.lang.Object[],java.lang.Object,int),commons-collections
44,return_stm,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.ArrayUtils,indexOf(java.lang.Object[],java.lang.Object,int),commons-collections
48,exp,6,6,6,6,6,6,1.0,True,AOIS exp--,AOIU -exp,AOIS ++exp,LOI ~exp,AOIS exp++,AOIS --exp,,AOIS exp--,commons-collections
49,return_stm,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.ArrayUtils,indexOf(java.lang.Object[],java.lang.Object,int),commons-collections
50,lexp < rexp,2,2,2,7,7,7,1.0,True,ROR !=,ROR <=,,ROR >=,ROR >,COI !(),ROR true,ROR ==,commons-collections
53,exp,6,6,6,6,6,6,1.0,True,AOIS --exp,AOIU -exp,AOIS exp--,AOIS exp++,LOI ~exp,AOIS ++exp,,AOIS exp++,commons-collections
57,stm_list,2,2,2,2,2,2,1.0,True,SDL,SDL,,SDL,SDL,,org.apache.commons.collections4.ArrayUtils,indexOf(java.lang.Object[],commons-collections
58,return_stm,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.ArrayUtils,indexOf(java.lang.Object[],java.lang.Object,int),commons-collections
59,return_stm,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.ArrayUtils,indexOf(T[],java.lang.Object),20,commons-collections
60,return_stm,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.ArrayUtils,indexOf(java.lang.Object[],java.lang.Object,int),commons-collections
65,lexp == rexp,1,1,1,2,2,2,1.0,True,ROR !=,,COI !(),ROR !=,,org.apache.commons.collections4.ArrayUtils,indexOf(java.lang.Object[],java.lang.Object,commons-collections
68,if_stm,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.ArrayUtils,indexOf(java.lang.Object[],java.lang.Object,int),commons-collections
69,if_stm,2,2,2,2,2,2,1.0,True,SDL,SDL,,SDL,SDL,,org.apache.commons.collections4.ArrayUtils,indexOf(java.lang.Object[],commons-collections
71,lexp == rexp,1,1,1,2,2,2,1.0,True,ROR !=,,COI !(),ROR !=,,org.apache.commons.collections4.ArrayUtils,indexOf(java.lang.Object[],java.lang.Object,commons-collections
72,stm_list,2,2,2,2,2,2,1.0,True,SDL,SDL,,SDL,SDL,,org.apache.commons.collections4.ArrayUtils,indexOf(java.lang.Object[],commons-collections
89,lexp / rexp,2,2,2,6,6,6,1.0,True,AORB *,AORB %,,AORB %,AORB +,AORB -,ODL rexp,ODL lexp,commons-collections
92,lexp - rexp,3,3,3,7,6,7,0.8571428571428571,True,ODL lexp,AORB %,ODL rexp,AORB +,AORB *,AORB /,CDL rexp,AORB %,commons-collections
95,return_stm,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.bloomfilter.SetOperations,jaccardDistance(org.apache.commons.collections4.bloomfilter.BloomFilter,org.apache.commons.collections4.bloomfilter.BloomFilter),55,commons-collections
96,return_stm,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.bloomfilter.SetOperations,estimateSize(org.apache.commons.collections4.bloomfilter.BloomFilter),36,0,commons-collections
99,!exp,1,1,1,2,2,2,1.0,True,COD exp,,COD exp,ODL exp,,org.apache.commons.collections4.bloomfilter.SetOperations,verifyShape(org.apache.commons.collections4.bloomfilter.BloomFilter,org.apache.commons.collections4.bloomfilter.BloomFilter),commons-collections
104,stm_list,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.bloomfilter.SetOperations,estimateUnionSize(org.apache.commons.collections4.bloomfilter.BloomFilter,org.apache.commons.collections4.bloomfilter.BloomFilter),43,commons-collections
105,stm_list,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.bloomfilter.SetOperations,hammingDistance(org.apache.commons.collections4.bloomfilter.BloomFilter,org.apache.commons.collections4.bloomfilter.BloomFilter),49,commons-collections
108,lexp - rexp,3,3,3,7,6,7,0.8571428571428571,True,AORB %,ODL rexp,ODL lexp,AORB +,ODL lexp,ODL rexp,AORB /,CDL rexp,commons-collections
112,return_stm,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.bloomfilter.SetOperations,cosineDistance(org.apache.commons.collections4.bloomfilter.BloomFilter,org.apache.commons.collections4.bloomfilter.BloomFilter),16,commons-collections
113,stm_list,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.bloomfilter.SetOperations,cosineSimilarity(org.apache.commons.collections4.bloomfilter.BloomFilter,org.apache.commons.collections4.bloomfilter.BloomFilter),22,commons-collections
115,stm_list,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.bloomfilter.SetOperations,jaccardSimilarity(org.apache.commons.collections4.bloomfilter.BloomFilter,org.apache.commons.collections4.bloomfilter.BloomFilter),61,commons-collections
116,if_stm,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.bloomfilter.SetOperations,verifyShape(org.apache.commons.collections4.bloomfilter.BloomFilter,org.apache.commons.collections4.bloomfilter.BloomFilter),69,commons-collections
128,return_stm,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.bloomfilter.hasher.HashFunctionIdentityImpl,getSignature(),56,0,commons-collections
126,lexp == rexp,1,1,1,2,2,2,1.0,True,ROR !=,,COI !(),ROR !=,,org.apache.commons.collections4.bloomfilter.hasher.HashFunctionValidator,areEqual(org.apache.commons.collections4.bloomfilter.hasher.HashFunctionIdentity,org.apache.commons.collections4.bloomfilter.hasher.HashFunctionIdentity),commons-collections
127,!exp,1,1,1,2,2,2,1.0,True,COD exp,,COD exp,ODL exp,,org.apache.commons.collections4.bloomfilter.hasher.HashFunctionValidator,checkAreEqual(org.apache.commons.collections4.bloomfilter.hasher.HashFunctionIdentity,org.apache.commons.collections4.bloomfilter.hasher.HashFunctionIdentity),commons-collections
128,if_stm,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.bloomfilter.hasher.HashFunctionValidator,checkAreEqual(org.apache.commons.collections4.bloomfilter.hasher.HashFunctionIdentity,org.apache.commons.collections4.bloomfilter.hasher.HashFunctionIdentity),33,commons-collections
130,lexp == rexp,1,1,1,2,2,2,1.0,True,ROR !=,,COI !(),ROR !=,,org.apache.commons.collections4.bloomfilter.hasher.HashFunctionValidator,areEqual(org.apache.commons.collections4.bloomfilter.hasher.HashFunctionIdentity,org.apache.commons.collections4.bloomfilter.hasher.HashFunctionIdentity),commons-collections
139,lexp - rexp,3,3,3,7,7,7,1.0,True,ODL rexp,ODL lexp,AORB %,,AORB %,CDL rexp,AORB +,AORB *,commons-collections
